"team_id","goal_diff_home","home_win_perc","home_lose_perc","home_draw_perc","goal_diff_away","away_win_perc","away_lose_perc","away_draw_perc"
13,1.2923,0.6923,0.1231,0.1846,0.3485,0.4394,0.303,0.2576
14,0.4769,0.5077,0.2462,0.2462,-0.2879,0.303,0.4394,0.2576
15,1.1231,0.6462,0.1385,0.2154,0.6515,0.5606,0.2273,0.2121
16,-0.4561,0.2281,0.4386,0.3333,-0.8772,0.1579,0.5614,0.2807
18,0.5224,0.4627,0.2985,0.2388,-0.1406,0.3281,0.4375,0.2344
21,-0.3158,0.2105,0.4737,0.3158,-1.0526,0.0526,0.5789,0.3684
23,0.0851,0.3617,0.3617,0.2766,-1.2609,0.1304,0.6739,0.1957
24,-0.7368,0.1842,0.5263,0.2895,-1.2368,0.1579,0.7105,0.1316
26,0.8939,0.5152,0.1364,0.3485,0.1231,0.4615,0.3231,0.2154
27,-0.1957,0.3478,0.3696,0.2826,-0.6809,0.2766,0.5745,0.1489
29,0,0.4308,0.3077,0.2615,-0.3636,0.2273,0.4394,0.3333
30,1.1364,0.6364,0.1515,0.2121,0.6154,0.4769,0.2462,0.2769
31,0.6,0.4769,0.2769,0.2462,-0.4091,0.2273,0.4242,0.3485
32,1.1667,0.6364,0.1061,0.2576,0.2,0.4154,0.2923,0.2923
96,0.0462,0.4308,0.3385,0.2308,-0.697,0.2424,0.4848,0.2727
162,-0.2121,0.3182,0.5152,0.1667,-0.4769,0.2769,0.4615,0.2615
166,-0.2222,0.4444,0.3333,0.2222,-1.875,0.125,0.75,0.125
167,1.5077,0.6769,0.1231,0.2,0.8939,0.5758,0.2273,0.197
168,-0.2105,0.3158,0.4211,0.2632,-1.2632,0.1579,0.7368,0.1053
171,-0.0526,0.3158,0.4211,0.2632,-1.5789,0.1053,0.8421,0.0526
175,-0.1077,0.3538,0.4,0.2462,-0.5758,0.1818,0.4394,0.3788
183,-0.1087,0.3478,0.413,0.2391,-0.7234,0.234,0.5106,0.2553
184,0.0638,0.4043,0.3404,0.2553,-0.8696,0.1739,0.587,0.2391
211,-0.375,0.25,0.25,0.5,-0.6667,0.2222,0.6667,0.1111
214,-0.3158,0.3421,0.4211,0.2368,-1.2895,0.1053,0.6579,0.2368
259,-0.1667,0.4091,0.3636,0.2273,-0.6154,0.2462,0.5692,0.1846
